Name,Games,Rank
Howard Ehmke,427,
Dominic Leone,427,
Edwin Nunez,427,
Orlando Pena,427,
Doc White,427,
Hal Woodeshick,427,
Michael Wuertz,426,676
Miguel Castro,425,677
Mychal Givens,425,
Lee Guetterman,425,
Joe Jiménez,425,
Jim Lonborg,425,
Sam McDowell,425,
Ervin Santana,425,
Tommy Bridges,424,684
Dave McNally,424,
Ramon Ramirez,424,
Woody Williams,424,
Joe Borowski,423,688
Cole Hamels,423,
Jesse Barnes,422,690
Tommy Kahnle,422,
Steve Hamilton,421,692
Frank Viola,421,
Skip Lockwood,420,694
Tanner Scott,420,
Steve Trachsel,420,
Bronson Arroyo,419,697
Antonio Bastardo,419,
Joe Gibbon,419,
Felix Hernández,419,
Al Leiter,419,
Francisco Liriano,419,
Willie Blair,418,703
Kirby Higbe,418,
Burke Badenhop,417,705
Buck Farmer,417,
Tim Hill,417,
Bob Rush,417,
Roy Halladay,416,709
Jim Kern,416,
Bill Lee,416,
Al Levine,416,
Donnie Moore,416,
Larry Sherry,416,
Jose DeLeon,415,715
George Frazier,415,
Mike Hampton,415,
Mike LaCoss,415,
Johnny Murphy,415,
Kevin Appier,414,720
Charlie Buffinton,414,
Rick Camp,414,
Joe Dobson,414,
Pat Dobson,414,
Jeremy Jeffress,414,
Bob Wells,414,
Rick Rhoden,413,727
Ed Vande Berg,413,
Jim Whitney,413,
Edwin Jackson,412,730
Don Larsen,412,
Johnny Sain,412,
Urban Shocker,412,
Nick Vincent,412,
Kelvim Escobar,411,735
Antonio Osuna,411,
Hansel Robles,411,
Eddie Watt,411,
Don Cardwell,410,739
Jakie May,410,
Earl Hamilton,409,741
Gary Lucas,409,
Al McBean,409,
Dave Tomlin,409,
Mike Adams,408,745
Daniel Bard,408,
Glen Perkins,408,
Ken Sanders,408,
Phil Coke,407,749
Dick Ellsworth,407,
Ray Herbert,407,
Mike MacDougal,407,
James Shields,407,
Rube Waddell,407,
Fernando Abad,406,755
Bobby Ayala,406,
Dean Chance,406,
Joaquin Andujar,405,758
Al Downing,405,
Brickyard Kennedy,405,
Joe Thatcher,405,
Jay Witasick,405,
Andy Benes,404,763
Lloyd Brown,404,
Aaron Sele,404,
Tony Castillo,403,766
Larry Gura,403,
Fred Norman,403,
Howie Pollet,403,
Bill Swift,403,
Will White,403,
Alvin Crowder,402,772
Fred Frankhouse,402,
Eric Gagne,402,
Ned Garver,402,
Scott Barlow,401,776
Tom Griffin,401,
Jon Lieber,401,
José Alvarado,400,779
Bruce Chen,400,
R.A. Dickey,400,
Jack Fisher,400,
Charlie Morton,400,
David Price,400,
Tom Hughes,399,785
Walt Masterson,399,
Ed Reulbach,399,
Steve Rogers,399,
Bret Saberhagen,399,
Sonny Siebert,399,
Bud Black,398,791
Doug Drabek,398,
Dylan Floro,398,
Bill Gullickson,398,
George Mogridge,398,
Tommy Thomas,398,
Silver King,397,797
Sandy Koufax,397,
A.J. Minter,397,
Brett Tomko,397,
Bob Veale,397,
Jim Hearn,396,802
Red Lucas,396,
Sean Marshall,396,
Chris Martin,396,
Ken Raffensberger,396,
Tim Belcher,394,807
Byung-Hyun Kim,394,
Charlie Leibrandt,394,
James Russell,394,
Milt Wilcox,394,
Brian Wilson,394,
Pink Hawley,393,813
Chris Perez,393,
Pedro Astacio,392,815
Jack Chesbro,392,
Omar Daal,392,
Rick Mahler,392,
Denny Neagle,392,
Bill Dinneen,391,820
Frank Francisco,391,
Dan Haren,391,
Hal Schumacher,391,
Jerry DiPoto,390,824
Dan Jennings,390,
Clarence Mitchell,390,
Fritz Ostermueller,390,
Mark Petkovsek,390,
Rip Sewell,390,
Hippo Vaughn,390,
Randy Wolf,390,
Scott Erickson,389,832
Jimmy Ring,389,
Sam Leever,388,834
Earl Moore,388,
Jake Peavy,388,
Jack Sanford,388,
Jack Stivetts,388,
Anthony Swarzak,388,
Junichi Tazawa,388,
Mace Brown,387,841
Aaron Harang,387,
Andy Hassler,387,
Nick Masset,387,
Vicente Padilla,387,
Chris Sale,387,
Brendan Donnelly,386,847
Rich Hill,386,
Kerry Ligtenberg,386,
Bob Purkey,386,
Jim Brosnan,385,851
Joba Chamberlain,385,
Ken Dayley,385,
Rob Dibble,385,
Steve Mingori,385,
Ted Wilks,385,
Mark Gubicza,384,857
Al Holland,384,
Al Reyes,384,
Ray Kolp,383,860
Michael Lorenzen,383,
Anthony Bass,382,862
Ron Darling,382,
Neal Heaton,382,
Mark Lowe,382,
Schoolboy Rowe,382,
Brett Myers,381,867
Dick Radatz,381,
AJ Ramos,381,
Sean Burnett,380,870
Sid Hudson,380,
Bruce Kison,380,
Kirk McCaskill,380,
Caleb Thielbar,380,
Theodore Breitenstein,379,875
Sam Gray,379,
Joe Haynes,379,
Bruce Hurst,379,
Billy Koch,379,
Tom Underwood,379,
Ed Brandt,378,881
Bill Donovan,378,
Brad Radke,378,
Johnny Antonelli,377,884
Hal Carlson,377,
Jason Hammel,377,
Esteban Loaiza,377,
Jason Marquis,377,
Tyler Rogers,377,
George Caster,376,890
Sam Dyson,376,
Freddy Garcia,376,
Terry Leach,376,
Tom Martin,376,
Jose Rijo,376,
Dave Schmidt,376,
Ricky Bones,375,897
Denny Galehouse,375,
Bill Hutchison,375,
Ryan Webb,375,
Dellin Betances,374,901
Rex Brothers,374,
Wes Ferrell,374,
Bill Hands,374,
Thornton Lee,374,
Tim Mayza,374,
Chris Stratton,374,
John Brebbia,373,908
Trevor Rosenthal,373,
Paul Sewald,373,
Sherry Smith,373,
Ryan Tepera,373,
Deacon Phillippe,372,913
Joe Price,372,
Todd Stottlemyre,372,
Aaron Bummer,371,916
Wesley Wright,371,
Johnny Cueto,370,918
Ed Farmer,370,
Chad Green,370,
Larry McWilliams,370,
Dan Petry,370,
Jim Corsi,369,923
Mike Krukow,369,
Matt Moore,369,
José Quintana,369,
Pedro Borbon,368,927
Roger Craig,368,
Red Donahue,368,
Lefty Gomez,368,
Ron Guidry,368,
Luke Jackson,368,
Chasen Shreve,368,
Juan Acevedo,367,934
Jared Burton,367,
Bob Groom,367,
David Phelps,367,
Elam Vangilder,367,
Bill Dietrich,366,939
Johnny Schmitz,366,
Frank Dwyer,365,941
Jon Garland,365,
Jerry Johnson,365,
Ray Moore,365,
Joe Oeschger,365,
Roy Oswalt,365,
Bryn Smith,365,
Mark Williamson,365,
Lance Lynn,364,949
Pete Mikkelsen,364,
Van Mungo,364,
Juan Nicasio,364,
Jeff Samardzija,364,
Aníbal Sánchez,364,
CeciIio Guante,363,955
Andy McGaffigan,363,
Matt Strahm,363,
Pedro Báez,362,958
Red Ehret,362,
Neftalí Feliz,362,
Art Fowler,362,
Ken Giles,362,
Joel Hanrahan,362,
T.J. Mathews,362,
Carlos Torres,362,
Trevor Cahill,361,966
Joe Horlen,361,
Jon Matlack,361,
Jaime Navarro,361,
John Smiley,361,
Kevin Tapani,361,
Herm Wehmeier,361,
Claude Hendrix,360,973
Jose Leclerc,360,
Johan Santana,360,
Joe Shaute,360,
Zane Smith,360,
Mel Stottlemyre,360,
Whit Wyatt,360,
Manuel Corpas,359,980
Darryl Kile,359,
Gary Peters,359,
Lee Stange,359,
Sammy Stewart,359,
Todd Van Poppel,359,
Hal Brown,358,986
Madison Bumgarner,358,
Kevin Correia,358,
Tom Hall,358,
Heath Hembree,358,
Trevor May,358,
Dan Otero,358,
Jesse Tannehill,358,
Dustin Hermanson,357,994
Steve Karsay,357,
Denny Lemaster,357,
Jordan Lyles,357,
Pat Malone,357,
Hooks Wiltse,357,
Brian Boehringer,356,1000
Alex Claudio,356,
Larry Dierker,356,
Marv Grissom,356,
Dave Heaverlo,356,
Ted Lilly,356,
Scott McGregor,356,
Jack Scott,356,
Al Smith,356,
