Name,Stolen Bases,Rank
Ernie Johnson,114,783
Heinie Manush,114,784
Michael Tucker,114,785
Ossie Vitt,114,786
Tony Bernazard,113,787
Bill Cissell,113,788
Frankie Crosetti,113,789
José Cruz,113,790
Alex Gordon,113,791
Harry Heilmann,113,792
Alex Johnson,113,793
Duffy Lewis,113,794
Irish Meusel,113,795
Dylan Moore,113,796
George Wood,113,797
Rich Amaral,112,798
George Decker,112,799
Bob Ganley,112,800
Baldy Louden,112,801
Tony Mullane,112,802
Rafael Ramirez,112,803
Carl Reynolds,112,804
Kyle Tucker,112,805
Javier Báez,111,806
Delino DeShields,111,807
Eddie Murphy,111,808
Al Myers,111,809
Kevin Pillar,111,810
Bobby Brown,110,811
Charlie Duffee,110,812
Cesar Izturis,110,813
Harry Lumley,110,814
Eddie Murray,110,815
Amed Rosario,110,816
Elmer Valo,110,817
Dick Bartell,109,818
Jazz Chisholm Jr.,109,819
Brian Giles,109,820
Hal McRae,109,821
James Mouton,109,822
R.J. Reynolds,109,823
George Springer,109,824
Vernon Wells,109,825
Alan Bannister,108,826
Joe Birmingham,108,827
Greg Gagne,108,828
Andrés Gimenez,108,829
Matt Holliday,108,830
Harry Taylor,108,831
Wayne Tolleson,108,832
Felipe Alou,107,833
Aaron Boone,107,834
Carl Everett,107,835
Willie Harris,107,836
Rex Hudler,107,837
Manny Machado,107,838
Hy Myers,107,839
Wil Myers,107,840
Harry Niles,107,841
Fernando Tatis Jr.,107,842
Moises Alou,106,843
Byron Buxton,106,844
Endy Chavez,106,845
Bob Dillinger,106,846
Leon Durham,106,847
Adonis Terry,106,848
Bobby Wheelock,106,849
Gerald Williams,106,850
Marvin Benard,105,851
Jon Berti,105,852
Don Blasingame,105,853
Ken Boyer,105,854
Brian Dozier,105,855
Jim Eisenreich,105,856
Lonny Frey,105,857
Dick Howser,105,858
Jorge Mateo,105,859
John Wathan,105,860
Herm Winningham,105,861
Juan Beniquez,104,862
Wilbur Good,104,863
Bobby Grich,104,864
Travis Jankowski,104,865
Derrek Lee,104,866
Mitchell Page,104,867
Nick Punto,104,868
Paul Waner,104,869
Matt Alexander,103,870
