Name,Grand Slams,Rank
Johnny Logan,3,880
Davey Lopes,3,881
Bobby Lowe,3,882
Jed Lowrie,3,883
Fred Luderus,3,884
Julio Lugo,3,885
Gavin Lux,3,886
Bill Madlock,3,887
Candy Maldonado,3,888
Martín Maldonado,3,889
Frank Malzone,3,890
Rick Manning,3,891
Eli Marrero,3,892
Jerry Martin,3,893
Pepper Martin,3,894
Carmelo Martinez,3,895
Mike Matheny,3,896
Nelson Mathews,3,897
Jeff Mathis,3,898
Gary Matthews,3,899
Carlos May,3,900
Dave May,3,901
Milt May,3,902
Bill Mazeroski,3,903
Tommy McCraw,3,904
Andrew McCutchen,3,905
Herm McFarland,3,906
Casey McGehee,3,907
Stuffy McInnis,3,908
Ken McMullen,3,909
Bid McPhee,3,910
Hal McRae,3,911
Joe Medwick,3,912
Kevin Mench,3,913
Denis Menke,3,914
Orlando Merced,3,915
Bob Meusel,3,916
Will Middlebrooks,3,917
Matt Mieske,3,918
Rick Miller,3,919
Doug Mirabelli,3,920
Paul Molitor,3,921
Don Money,3,922
Craig Monroe,3,923
Miguel Montero,3,924
Gene Moore,3,925
Keith Moreland,3,926
Mitch Moreland,3,927
Don Mueller,3,928
Danny Murphy,3,929
Dwayne Murphy,3,930
Derek Norris,3,931
Pete O'Brien,3,932
Bob O'Farrell,3,933
Troy O'Leary,3,934
Shohei Ohtani,3,935
Tony Oliva,3,936
Gerardo Parra,3,937
Joc Pederson,3,938
Tony Pena,3,939
Wily Mo Pena,3,940
David Peralta,3,941
Dave Philley,3,942
Brett Phillips,3,943
Kevin Pillar,3,944
Placido Polanco,3,945
Jim Presley,3,946
Terry Puhl,3,947
Rich Reese,3,948
Anthony Rendon,3,949
Merv Rettenmund,3,950
Bryan Reynolds,3,951
Craig Reynolds,3,952
Del Rice,3,953
Ernest Riles,3,954
Alex Rios,3,955
Juan Rivera,3,956
Leon Roberts,3,957
Cookie Rojas,3,958
Jim Russell,3,959
Connie Ryan,3,960
Chris Sabo,3,961
Wally Schang,3,962
George Scott,3,963
Luke Scott,3,964
Marco Scutaro,3,965
Corey Seager,3,966
Pat Seerey,3,967
Travis Shaw,3,968
Jimmy Sheckard,3,969
Pat Sheridan,3,970
Grady Sizemore,3,971
Enos Slaughter,3,972
Lonnie Smith,3,973
Pavin Smith,3,974
Reggie Smith,3,975
Justin Smoak,3,976
Eric Soderholm,3,977
Daryl Spencer,3,978
Bill Spiers,3,979
Leroy Stanton,3,980
Harry Stovey,3,981
Franklin Stubbs,3,982
Champ Summers,3,983
Dansby Swanson,3,984
Mike Sweeney,3,985
Fernando Tatis Jr.,3,986
Danny Taylor,3,987
Tyrone Taylor,3,988
Birdie Tebbetts,3,989
Garry Templeton,3,990
Bill Terry,3,991
Tim Teufel,3,992
Sam Thompson,3,993
Faye Throneberry,3,994
Marv Throneberry,3,995
Bob Tillman,3,996
Joe Torre,3,997
Chad Tracy,3,998
Devon Travis,3,1000
Pie Traynor,3,1001
Tom Tresh,3,1002
Brice Turang,3,1003
Dan Uggla,3,1004
Danny Valencia,3,1005
John Valentin,3,1006
George Van Haltren,3,1007
Jason Varitek,3,1008
Johnny Vergez,3,1009
Jose Vidro,3,1010
Fernando Vina,3,1011
Clyde Vollmer,3,1012
Gee Walker,3,1013
Neil Walker,3,1014
Paul Waner,3,1015
Daryle Ward,3,1016
Gary Ward,3,1017
Mitch Webster,3,1018
Joey Wendle,3,1019
Roy White,3,1020
Ernie Whitt,3,1021
Matt Wieters,3,1022
Gerald Williams,3,1023
Enrique Wilson,3,1024
Patrick Wisdom,3,1025
Gene Woodling,3,1026
Taffy Wright,3,1027
Kevin Young,3,1028
Robin Yount,3,1029
Chief Zimmer,3,1030
Richie Zisk,3,1031
