Name,Percent,Raw,Rank
Amos Otis,13.8,13.8101,650
Steve Finley,13.8,13.8236,651
Jose Pagan,13.8,13.8249,652
Jerry Grote,13.8,13.8281,653
Robinson Cano,13.8,13.8379,654
Bobby Tolan,13.9,13.8509,655
Mike Bordick,13.9,13.8648,656
Jose Uribe,13.9,13.8708,657
Johnny Edwards,13.9,13.8737,658
Dan Gladden,13.9,13.8858,659
Mike Tyson,13.9,13.8898,660
Joe Torre,13.9,13.8938,661
Wes Covington,13.9,13.9019,662
Terry Pendleton,13.9,13.9221,663
Don Money,13.9,13.934,664
Frankie Hayes,14.0,13.955,665
Johnny Roseboro,14.0,13.9674,666
Ed Brinkman,14.0,13.9785,667
Craig Counsell,14.0,13.9844,668
Daryl Spencer,14.0,13.9875,669
Willie Mays,14.0,14.0244,670
Al Bumbry,14.0,14.0313,671
Walt Weiss,14.0,14.0418,672
Rafael Furcal,14.0,14.0497,673
Mike Lowell,14.1,14.0547,674
Davey Johnson,14.1,14.0713,675
Ian Kinsler,14.1,14.0913,676
Carlos Ruiz,14.1,14.1,677
Tony Taylor,14.1,14.1016,678
Walt Dropo,14.1,14.1125,679
Garry Templeton,14.1,14.1432,680
Garret Anderson,14.2,14.1667,681
David Segui,14.2,14.1737,682
Julian Javier,14.2,14.1908,683
George Hendrick,14.2,14.2096,684
Frank Thomas,14.2,14.2243,685
Freddie Patek,14.2,14.2315,686
David Bell,14.2,14.2354,687
Mike Lum,14.2,14.2375,688
Doug Mientkiewicz,14.3,14.2512,689
Jose Altuve,14.3,14.2556,690
Aurelio Rodriguez,14.3,14.2641,691
Tom Foley,14.3,14.291,692
Pat Tabler,14.3,14.293,693
Al Smith,14.3,14.3364,694
Brian Downing,14.4,14.3512,695
Roger Maris,14.4,14.3697,696
Ramon Hernandez,14.4,14.3781,697
Ralph Kiner,14.4,14.39,698
Vernon Wells,14.4,14.3933,699
Roy Sievers,14.4,14.4043,700
Ben Oglivie,14.4,14.4089,701
Glenn Hubbard,14.4,14.4112,702
Ivan DeJesus,14.4,14.4285,703
Lee Lacy,14.4,14.4427,704
Jerry Lynch,14.4,14.4495,705
Sid Bream,14.5,14.4788,706
Rusty Greer,14.5,14.4946,707
Mark Belanger,14.5,14.5055,708
Buster Posey,14.5,14.507,709
Paul Blair,14.5,14.5151,710
Edgar Renteria,14.5,14.5173,711
Harold Baines,14.5,14.5438,712
Cristian Guzman,14.5,14.5485,713
Bill Spiers,14.6,14.554,714
Jim Dwyer,14.6,14.5599,715
Coco Crisp,14.6,14.5868,716
Mike Heath,14.6,14.6249,717
Skip Schumaker,14.6,14.6371,718
Reggie Smith,14.6,14.6452,719
Greg Brock,14.6,14.6471,720
Elston Howard,14.7,14.656,721
Sibby Sisti,14.7,14.6716,722
Marlon Anderson,14.7,14.7004,723
Joe Girardi,14.7,14.708,724
Rudy York,14.7,14.7174,725
Omar Infante,14.7,14.7221,726
Jim Rivera,14.7,14.7241,727
Jackie Brandt,14.7,14.7368,728
Orlando Cepeda,14.7,14.7471,729
