Name,Batting Average,Rank
Jim Thome,.276 (.27642),665
Dave Foutz,.276 (.27642),
Mel Hall,.276 (.27637),667
Roy Cullenbine,.276 (.27636),668
George McQuinn,.276 (.27632),669
Al Martin,.276 (.27628),670
Ken Keltner,.276 (.27626),671
Vinny Castilla,.276 (.27617),672
Danny Cater,.276 (.27612),673
Chone Figgins,.276 (.27611),674
Eric Hosmer,.276 (.27611),
Roy Campanella,.276 (.27610),676
Gil McDougald,.276 (.27609),677
Brian Roberts,.276 (.27608),678
Mark Kotsay,.276 (.27599),679
Gary Ward,.276 (.27595),680
Greg Luzinski,.276 (.27594),681
Dave Martinez,.276 (.27593),682
Randy Velarde,.276 (.27592),683
Jack Rothrock,.276 (.27582),684
Al Zarilla,.276 (.27581),685
Elmer Smith,.276 (.27574),686
Richie Hebner,.276 (.27572),687
Derek Bell,.276 (.27567),688
Cal Ripken Jr.,.276 (.27565),689
Willie Randolph,.276 (.27563),690
Lee Magee,.276 (.27559),691
Topsy Hartsel,.276 (.27558),692
Ron Northey,.276 (.27554),693
Tom Daly,.276 (.27552),694
Ping Bodie,.275 (.27548),695
Rich Aurilia,.275 (.27548),
Duke Farrell,.275 (.27540),697
Jerry Remy,.275 (.27520),698
Wally Backman,.275 (.27519),699
Rudy York,.275 (.27517),700
Shane Victorino,.275 (.27516),701
Muddy Ruel,.275 (.27514),702
Geoff Jenkins,.275 (.27511),703
Cliff Heathcote,.275 (.27504),704
Brandon Phillips,.275 (.27501),705
Marv Owen,.275 (.27499),706
Marlon Byrd,.275 (.27496),707
Jimmy Williams,.275 (.27495),708
Chase Utley,.275 (.27490),709
Gerardo Parra,.275 (.27480),710
Irv Noren,.275 (.27477),711
David DeJesus,.275 (.27471),712
Jose Cardenal,.275 (.27470),713
Ray Boone,.275 (.27457),714
Bernard Gilkey,.275 (.27456),715
Shin-Soo Choo,.275 (.27452),716
Willie Montanez,.275 (.27452),
Chili Davis,.274 (.27441),718
Eric McNair,.274 (.27440),719
Hans Lobert,.274 (.27438),720
Trot Nixon,.274 (.27433),721
Troy O'Leary,.274 (.27431),722
Elston Howard,.274 (.27429),723
Mookie Wilson,.274 (.27424),724
Nick Castellanos,.274 (.27423),725
Carlos Correa,.274 (.27421),726
Ernie Banks,.274 (.27417),727
George Foster,.274 (.27410),728
Orlando Palmeiro,.274 (.27409),729
Jermaine Dye,.274 (.27406),730
Rennie Stennett,.274 (.27405),731
Willard Marshall,.274 (.27404),732
Jim Gantner,.274 (.27403),733
Travis Fryman,.274 (.27403),
Jimmy Sheckard,.274 (.27403),
David Murphy,.274 (.27401),736
Lee Maye,.274 (.27396),737
Francisco Lindor,.274 (.27393),738
Juan Beniquez,.274 (.27392),739
Jonathan Lucroy,.274 (.27391),740
Kevin Millar,.274 (.27389),741
Donn Clendenon,.274 (.27388),742
Bucky Harris,.274 (.27386),743
Mike Lieberthal,.274 (.27383),744
Frank Malzone,.274 (.27377),745
Nelson Cruz,.274 (.27370),746
Juan Rivera,.274 (.27370),
Bengie Molina,.274 (.27369),748
Milt Thompson,.274 (.27360),749
Carlos May,.274 (.27354),750
Alex Bregman,.274 (.27354),
Larry Herndon,.274 (.27353),752
Andy Van Slyke,.274 (.27351),753
Wilbert Robinson,.273 (.27350),754
George Browne,.273 (.27349),755
Frank Howard,.273 (.27343),756
Orlando Hudson,.273 (.27337),757
Claude Ritchey,.273 (.27336),758
Raul Mondesi,.273 (.27331),759
Fred Merkle,.273 (.27326),760
Gil Hodges,.273 (.27326),
Wil Cordero,.273 (.27325),762
Larry Biittner,.273 (.27325),
Joe Orsulak,.273 (.27324),764
Sammy Sosa,.273 (.27323),765
Jorge Posada,.273 (.27315),766
Ben Oglivie,.273 (.27313),767
Bob O'Farrell,.273 (.27310),768
Willie Horton,.273 (.27309),769
Bobby Lowe,.273 (.27307),770
