Name,Strikeouts,Rank
Wil Cordero,775,679
Sean Rodriguez,775,
Gary Ward,775,
Mitch Haniger,774,682
Whit Merrifield,774,
Damian Miller,772,684
George Bell,771,685
Randy Arozarena,768,686
Pat Kelly,768,
Sixto Lezcano,768,
Al Smith,768,
Jim Landis,767,690
Kevin Pillar,767,
Nathaniel Lowe,765,692
Brook Jacoby,764,693
Ken Henderson,763,694
Dan Wilson,763,
José Ramírez,762,696
Jason LaRue,760,697
Don Kessinger,759,698
Logan Forsythe,757,699
Mark Kotsay,757,
Pablo Sandoval,757,
Mack Jones,756,702
Rabbit Maranville,756,
Al Oliver,756,
Ketel Marte,755,705
Gus Zernial,755,
Tommy Davis,754,707
Bill Freehan,753,708
Chris Johnson,753,
Kiki Cuyler,752,710
Willie Montanez,751,711
Kurt Suzuki,751,
Chris Gomez,750,713
Juan Soto,750,
Ron Karkovice,749,715
Ralph Kiner,749,
Norm Siebern,748,717
Will Venable,748,
Cesar Geronimo,746,719
Wade Boggs,745,720
Orlando Cabrera,745,
Amed Rosario,745,
Ronald Acuña Jr.,744,723
Ron Kittle,744,
Luis Aparicio,742,725
Yoenis Cespedes,742,
Jim Hegan,742,
Manny Trillo,742,
Richie Hebner,741,729
Brandon Lowe,741,
Logan Morrison,740,731
Joe Randa,738,732
Jacoby Ellsbury,737,733
Richard Hidalgo,737,
Al Simmons,737,
Rick Dempsey,736,736
Franklin Gutierrez,736,
AJ Pollock,736,
David Ross,735,739
Honus Wagner,735,
Clint Barmes,734,741
Ramon Hernandez,734,
Roger Maris,733,743
Marty Cordova,730,744
Chuck Knoblauch,730,
Jose Vizcaino,729,746
Reed Johnson,728,747
Darren Daulton,726,748
Steve Yeager,726,
Mark Bellhorn,723,750
Eddie Bressoud,723,
Dan Ford,722,752
Travis d'Arnaud,721,753
Buster Posey,721,
Cy Williams,721,
Hank Blalock,720,756
Dan Driessen,719,757
Del Ennis,719,
Cliff Johnson,719,
Carney Lansford,719,
Kevin Mitchell,719,
Phil Bradley,718,762
Brandon Drury,718,
John Mabry,717,764
Jon Jay,716,765
Denard Span,716,
Jorge Orta,715,767
Mike Yastrzemski,715,
David Dellucci,714,769
Mickey Morandini,714,
Hank Sauer,714,
Harlond Clift,713,772
Hack Wilson,713,
Jody Davis,712,774
Nick Esasky,712,
Mark Whiten,712,
Roy McMillan,711,777
Michael Saunders,711,
Al Bumbry,709,779
Daniel Murphy,709,
Fernando Tatis,709,
Ted Williams,709,
Tom Brown,708,783
Bernard Gilkey,708,
Billy Hamilton,708,
Roy White,708,
Aaron Boone,707,787
Mark DeRosa,707,
Kevin McReynolds,707,
Felipe Alou,706,790
Tony Gonzalez,706,
Bill Mazeroski,706,
Travis Lee,704,793
Tom Paciorek,704,
Joe Gordon,702,795
Cleon Jones,702,
Todd Hollandsworth,701,797
John Kruk,701,
Joe Cronin,700,799
Mike Macfarlane,700,
Scott Brosius,699,801
Anthony Santander,699,
Tom Tresh,698,803
John Vander Wal,698,
Gabby Hartnett,697,805
Ozzie Albies,696,806
Mike Easler,696,
Hector Lopez,696,
Stan Musial,696,
Max Carey,695,810
Jurickson Profar,695,
Wally Berger,694,812
Jeff Cirillo,694,
Tito Francona,694,
High Pockets Kelly,694,
Otis Nixon,694,
Gregory Polanco,694,
Ted Simmons,694,
Orlando Arcia,693,819
Cito Gaston,693,
Enos Cabell,691,821
Welington Castillo,691,
Ramón Laureano,690,823
Jake Lamb,689,824
Hideki Matsui,689,
Trot Nixon,689,
Alex Bregman,688,827
Jerry Mumphrey,688,
Gary Redus,688,
David Bell,687,830
Wes Helms,687,
Dave Hollins,687,
David Segui,687,
Kolten Wong,687,
Yunel Escobar,686,835
John Jaha,686,
Jason Kendall,686,
Chuck Hinton,685,838
Vern Stephens,685,
Dick Schofield,684,840
Geovany Soto,684,
Shannon Stewart,684,
Maury Wills,684,
Ryan Raburn,683,844
Sam Chapman,682,845
Nick Ahmed,681,846
Ron Oester,681,
Yasiel Puig,681,
Ty Cobb,680,849
Garrett Jones,680,
Leon Durham,679,851
Adam Eaton,679,
Rogers Hornsby,679,
Mark Teahen,679,
Don Zimmer,678,855
Dave Duncan,677,856
Steve Henderson,677,
Tyler O'Neill,677,
Johnny Roseboro,677,
Chad Curtis,676,860
Austin Hedges,676,
Trevor Plouffe,676,
Martin Prado,676,
Roy Howell,675,864
Davey Johnson,675,
Willie Randolph,675,
Del Unser,675,
Jim Davenport,673,868
Rick Reichardt,672,869
Glenn Wilson,672,
Jake Marisnick,671,871
John Shelby,671,
Erick Aybar,670,873
Gordon Beckham,670,
Jedd Gyorko,670,
Jeff Heath,670,
Bill Melton,669,877
Kevin Bass,668,878
Don Mincher,668,
Mike Morse,668,
Geoff Blum,667,881
Bill Russell,667,
Bill North,665,883
Robinson Chirinos,664,884
Willie Crawford,664,
Ivan DeJesus,664,
Alfredo Griffin,664,
Rico Carty,663,888
Craig Counsell,663,
Pedro Feliz,663,
Jim Gentile,663,
Odúbel Herrera,663,
Max Alvis,662,893
Bruce Bochte,662,
Jonathan Lucroy,662,
