Name,Sacrifice Hits,Rank
Roy Grover,57,
Sonny Jackson,57,
Whitey Kurowski,57,
Johnnie LeMaster,57,
Jerry Lumpe,57,1000
Sal Maglie,57,
Ed McKean,57,
Elmer Miller,57,
Terry Puhl,57,
Admiral Schlei,57,
Mike Scioscia,57,
Tommy Sheehan,57,
Chris Short,57,
Curt Simmons,57,
Russ Snyder,57,
Garry Templeton,57,
Earl Whitehill,57,
Tony Womack,57,
