Name,IBB,Rank
Bill Terry,32,
Derrel Thomas,32,
John Vander Wal,32,
Gee Walker,32,
Jayson Werth,32,
Devon White,32,
Jerry Adair,31,801
Pedro Alvarez,31,
Rod Barajas,31,
Ken Berry,31,
Steve Buechele,31,
Enos Cabell,31,
Yoenis Cespedes,31,
Joe Cunningham,31,
Don Demeter,31,
Delino DeShields,31,
Darrin Fletcher,31,
Hank Foiles,31,
Curtis Granderson,31,
Bud Harrelson,31,
Ron Hassey,31,
Gil Hodges,31,
Jack Howell,31,
Mack Jones,31,
Jason Kubel,31,
Mike Lamb,31,
Gene Larkin,31,
Jerry Lynch,31,
Ray Mack,31,
Hank Majeski,31,
Mike Napoli,31,
Troy O'Leary,31,
Wally Post,31,
Kevin Seitzer,31,
Scott Servais,31,
Richie Sexson,31,
Al Smith,31,
Terry Steinbach,31,
Jim Sundberg,31,
Kyle Tucker,31,
Michael Tucker,31,
Earl Williams,31,
Bob Allison,30,837
Derek Bell,30,
Russell Branyan,30,
Dick Brown,30,
Al Bumbry,30,
Ivan Calderon,30,
Roy Campanella,30,
Dick Dietz,30,
Johnny Estrada,30,
Al Evans,30,
Jim Gilliam,30,
Jose Guillen,30,
Tommy Harper,30,
Charlie Hayes,30,
Chase Headley,30,
Clyde Kluttz,30,
John Lowenstein,30,
Phil Nevin,30,
Ed Ott,30,
Anthony Rendon,30,
Cookie Rojas,30,
David Ross,30,
Red Schoendienst,30,
Bob Swift,30,
Tom Tresh,30,
Alex Trevino,30,
Hal Wagner,30,
Brad Wilkerson,30,
Kolten Wong,30,
Joel Youngblood,30,
Gregg Zaun,30,
Mike Aldrete,29,868
Yonder Alonso,29,
Ken Boswell,29,
Ed Bouchee,29,
Rico Brogna,29,
Marlon Byrd,29,
Bruce Campbell,29,
Vic Davalillo,29,
Corey Dickerson,29,
Tim Foli,29,
Barry Foote,29,
Marc Hill,29,
Eric Hinske,29,
Chris Iannetta,29,
Charles Johnson,29,
Lance Johnson,29,
Fred Kendall,29,
Danny Litwhiler,29,
Lee Maye,29,
Mark McLemore,29,
Bill Melton,29,
Dan Pasqua,29,
Vic Power,29,
Jody Reed,29,
Ellie Rodriguez,29,
Rey Sanchez,29,
Art Shamsky,29,
Eddie Taubensee,29,
Gary Thomasson,29,
Jeff Torborg,29,
Denny Walling,29,
Matt Wieters,29,
Marlon Anderson,28,900
Henry Blanco,28,
Dave Cash,28,
Michael Conforto,28,
Tony Conigliaro,28,
Carlos Correa,28,
Al Cowens,28,
Kal Daniels,28,
Daniel Descalso,28,
Ryan Doumit,28,
Jake Early,28,
Gene Freese,28,
Dave Hollins,28,
Jackie Jensen,28,
Felix Jose,28,
Matt Joyce,28,
Peanuts Lowrey,28,
Kirt Manwaring,28,
Bake McBride,28,
Jose Morales,28,
Rance Mulliniks,28,
Greg Myers,28,
Bill North,28,
Don Padgett,28,
Ken Phelps,28,
Jerry Priddy,28,
Don Slaught,28,
Chad Tracy,28,
Greg Walker,28,
Gary Ward,28,
Mitch Webster,28,
Tony Batista,27,931
Dick Bertell,27,
Dom Dallessandro,27,
Rob Deer,27,
Erubiel Durazo,27,
Odell Hale,27,
