Name,Hit by Pitch,Rank
Billy Nash,41,
Darby O'Brien,41,
Dode Paskert,41,
Tommy Pham,41,
Charlie Reilly,41,
Gary Roenicke,41,
Pop Schriver,41,
Kip Selbach,41,
Riggs Stephenson,41,
Andre Thornton,41,
Mike Tiernan,41,
Deacon White,41,
Yordan Alvarez,40,788
Ed Brinkman,40,
Chad Curtis,40,
Klondike Douglass,40,
Ron Fairly,40,
Greg Gagne,40,
Jack Graney,40,
Randal Grichuk,40,
Harry Heilmann,40,
Davey Johnson,40,
Cleon Jones,40,
Duffy Lewis,40,
Billy Maloney,40,
J.D. Martinez,40,
Bake McBride,40,
Tommy McCraw,40,
Mike Menosky,40,
Don Money,40,
Joe Morgan,40,
Red Murray,40,
Herbert Perry,40,
Tony Piet,40,
Doug Rader,40,
José Ramírez,40,
Cody Ross,40,
Rey Sanchez,40,
Andy Seminick,40,
Socks Seybold,40,
Earl Sheely,40,
Trevor Story,40,
Tom Tresh,40,
Trea Turner,40,
Zoilo Versalles,40,
Pete Ward,40,
Walt Weiss,40,
Carl Yastrzemski,40,
Delmon Young,40,
Whitey Alperman,39,825
Victor Caratini,39,
Travis d'Arnaud,39,
Johnny Evers,39,
Mike Greenwell,39,
Mitch Haniger,39,
Larry Hisle,39,
Danny Hoffman,39,
Baby Doll Jacobson,39,
Jason Kipnis,39,
Joe Kuhel,39,
Rabbit Maranville,39,
James McCann,39,
Fred McGriff,39,
Ed McKean,39,
Joe Quinn,39,
Heinie Reitz,39,
Rich Rollins,39,
Ted Simmons,39,
Casey Stengel,39,
Michael Tucker,39,
Joey Wendle,39,
Bernie Williams,39,
Ted Williams,39,
Buddy Bell,38,849
Wally Berger,38,
Hubie Brooks,38,
Brett Butler,38,
Chico Carrasquel,38,
Starlin Castro,38,
Dave Collins,38,
Roger Connor,38,
Joe Crede,38,
Rafael Devers,38,
Matt Diaz,38,
Larry Doby,38,
Thairo Estrada,38,
Julio Franco,38,
Kid Gleason,38,
Butch Henline,38,
Dick Hoblitzell,38,
Shanty Hogan,38,
Wally Joyner,38,
Ron Kittle,38,
Gene Larkin,38,
Hans Lobert,38,
Harry Lord,38,
Roger Maris,38,
Jimmy McAleer,38,
Stuffy McInnis,38,
Ray Morgan,38,
David Ortiz,38,
Tom Paciorek,38,
Gerardo Parra,38,
Dustin Pedroia,38,
Jeremy Peña,38,
Jhonny Peralta,38,
Wally Pipp,38,
Stephen Piscotty,38,
Willie Randolph,38,
Jimmy Rollins,38,
Benito Santiago,38,
Ron Santo,38,
Seth Smith,38,
Darryl Strawberry,38,
Elmer Valo,38,
George Van Haltren,38,
Quilvio Veras,38,
Paul Waner,38,
Heinie Zimmerman,38,
Shad Barry,37,895
Kevin Bass,37,
Michael Brantley,37,
Jorge Cantu,37,
Jamey Carroll,37,
Phil Cavarretta,37,
J.P. Crawford,37,
Bobby Darwin,37,
Mariano Duncan,37,
Darin Erstad,37,
Adam Everett,37,
Lew Ford,37,
Brad Fullmer,37,
Bobby Higginson,37,
Keston Hiura,37,
Kenji Johjima,37,
Mike Lansing,37,
Julio Lugo,37,
Jake Marisnick,37,
Mike Marshall,37,
Jo-Jo Moore,37,
Pat Moran,37,
Logan Morrison,37,
Lance Parrish,37,
Ed Phelps,37,
Del Pratt,37,
Howie Shanks,37,
Enos Slaughter,37,
Alan Trammell,37,
Greg Vaughn,37,
Jose Vidro,37,
Chief Wilson,37,
Chris Young,37,
Ross Youngs,37,
Matty Alou,36,929
Harry Bemis,36,
Peter Bourjos,36,
Wid Conroy,36,
Pop Corkhill,36,
Gary DiSarcina,36,
Kevin Frandsen,36,
Marcus Giles,36,
Wilbur Good,36,
Johnny Grubb,36,
Kelly Gruber,36,
Paul Hines,36,
Del Howard,36,
Alex Johnson,36,
Jacque Jones,36,
Aaron Judge,36,
George Kell,36,
Otto Knabe,36,
Ray Knight,36,
Whitey Kurowski,36,
Tom Lampkin,36,
Ray Lankford,36,
Reddy Mack,36,
Garry Maddox,36,
Ketel Marte,36,
Gil McDougald,36,
Jocko Milligan,36,
Brandon Moss,36,
Eddie Murphy,36,
Zach Neto,36,
Jim O'Rourke,36,
Ivy Olson,36,
Steve Pearce,36,
Josh Phelps,36,
Johnny Roseboro,36,
Bill Russell,36,
Corey Seager,36,
Dominic Smith,36,
Denard Span,36,
Homer Summa,36,
Ruben Tejada,36,
Claudell Washington,36,
Jimmy Williams,36,
Jack Wilson,36,
Sam Wise,36,
Joel Youngblood,36,
Max Alvis,35,975
Welington Castillo,35,
Dave Chalk,35,
Roberto Clemente,35,
Darnell Coles,35,
Tommy Corcoran,35,
Tommy Edman,35,
Darrell Evans,35,
Tim Foli,35,
Pete Gilbert,35,
Khalil Greene,35,
Tom Haller,35,
George Harper,35,
Tommy Harper,35,
Gabby Hartnett,35,
Ron Jackson,35,
Charlie Jamieson,35,
Bill Killefer,35,
Brandon Lowe,35,
Rob Mackowiak,35,
Frank Menechino,35,
Mitch Moreland,35,
Mike Mowrey,35,
Bill Mueller,35,
Greasy Neale,35,
John O'Brien,35,1000
Jack O'Connor,35,
Ben Oglivie,35,
José Peraza,35,
AJ Pollock,35,
Ken Reitz,35,
Braggo Roth,35,
Joe Rudi,35,
Anthony Santander,35,
Kevin Seitzer,35,
Duke Sims,35,
Josh Smith,35,
Chris Speier,35,
Scott Spiezio,35,
Junior Spivey,35,
Eddie Stanky,35,
